,origin_id,lat,lon
624,481388053,31.2287934,121.4942298
625,481388603,31.2286275,121.4944107
626,481389761,31.2273477,121.4903275
627,481389763,31.2272523,121.4905764
628,481389765,31.2271110,121.4909076
629,481389838,31.2271470,121.4909164
630,481389977,31.2270229,121.4916605
631,481389979,31.2269073,121.4920441
632,481389981,31.2268926,121.4922587
633,481389986,31.2269514,121.4926106
634,481390039,31.2269823,121.4927156
635,481390470,31.2275366,121.4834174
636,481390471,31.2278625,121.4850980
637,481390556,31.2255904,121.4767668
638,481390557,31.2253215,121.4758371
639,481390560,31.2260217,121.4782691
640,481390600,31.2262422,121.4781775
641,481390831,31.2262908,121.4787060
642,481390832,31.2263243,121.4788639
643,481390833,31.2264848,121.4792295
644,481390834,31.2266993,121.4796278
645,481390837,31.2270982,121.4808861
646,481390838,31.2275899,121.4827572
647,481390839,31.2277433,121.4833504
648,481390844,31.2256761,121.4785659
649,481390884,31.2259162,121.4798820
650,481390886,31.2263000,121.4811771
651,481390910,31.2252119,121.4821135
652,481390911,31.2253220,121.4821908
653,481390912,31.2254541,121.4821908
654,481390913,31.2256743,121.4821564
655,481391756,31.2250669,121.4817465
656,481392301,31.2257183,121.4813582
657,481392303,31.2271118,121.4809380
658,481392305,31.2291752,121.4801823
659,481392306,31.2293220,121.4800707
660,481394037,31.2274539,121.4822209
661,481394324,31.2274254,121.4821311
662,481394988,31.2279495,121.4819676
663,481394993,31.2288596,121.4817788
664,481394996,31.2295275,121.4815642
665,481394998,31.2300266,121.4815299
666,481395518,31.2245281,121.4808431
667,481396578,31.2251605,121.4803282
668,481396584,31.2253940,121.4800770
669,481396589,31.2278541,121.4792038
670,481396594,31.2280596,121.4790408
671,481396599,31.2281632,121.4787731
672,481397090,31.2244337,121.4769585
673,481397312,31.2248230,121.4788384
674,481397822,31.2250231,121.4795248
675,481397827,31.2251077,121.4797825
676,481397829,31.2252470,121.4802002
677,481409453,31.2240807,121.4837819
678,481431000,31.2276539,121.4892220
679,481433742,31.2297040,121.4828831
680,481433745,31.2293112,121.4830801
681,481438664,31.2209754,121.4801932
682,481439262,31.2262775,121.4784495
683,481498188,31.2189773,121.4843896
684,481498551,31.2178076,121.4851605
685,481498554,31.2175140,121.4853665
686,481498557,31.2164580,121.4857764
687,481499138,31.2194518,121.4835211
688,481499142,31.2196793,121.4840361
689,481499147,31.2206996,121.4858729
690,481499482,31.2197891,121.4842337
691,481500495,31.2149889,121.4846283
692,481500500,31.2155761,121.4857184
693,481500502,31.2158110,121.4863621
694,481500505,31.2159761,121.4870271
695,481500507,31.2163950,121.4882442
696,481500509,31.2163879,121.4883882
697,481500511,31.2161927,121.4906536
698,481500513,31.2160826,121.4927565
699,481500515,31.2157376,121.4946276
700,481500517,31.2153779,121.4962584
701,481500915,31.2222789,121.4968031
702,481501356,31.2170125,121.4966425
703,481501398,31.2170341,121.4964555
704,481501843,31.2133806,121.4955517
705,481501845,31.2131382,121.4954983
706,481606342,31.2116630,121.4865824
707,481606347,31.2080121,121.4886390
708,482728439,31.2237675,121.4973601
709,482729263,31.2227439,121.4980120
710,482729435,31.2238864,121.4945277
711,482729936,31.2183983,121.4992994
712,482729954,31.2184285,121.4977931
713,482730046,31.2162302,121.4998524
714,482730664,31.2206105,121.4955171
715,482731172,31.2148317,121.4829592
716,482731173,31.2146702,121.4836802
717,482731174,31.2146335,121.4839978
718,482731175,31.2146482,121.4841523
719,482731176,31.2147583,121.4843239
720,482731177,31.2139587,121.4831491
721,482731178,31.2141042,121.4831251
722,482731179,31.2153822,121.4826932
723,482731180,31.2146193,121.4814359
724,482731602,31.2143591,121.4851469
725,482731911,31.2160174,121.4836981
726,482731912,31.2178591,121.4823182
727,482731921,31.2181940,121.4800078
728,482732138,31.2207773,121.4832253
729,482732142,31.2209465,121.4835695
730,482732359,31.2164645,121.4808799
731,482732480,31.2174429,121.4826256
732,482732933,31.2207976,121.4785775
733,482732943,31.2228152,121.4795350
734,482732996,31.2232255,121.4804085
735,482732999,31.2237083,121.4812770
736,482733002,31.2240069,121.4821953
737,482733092,31.2268189,121.4762453
738,483090542,31.2204121,121.4821051
739,483091135,31.2214908,121.4813441
740,483098146,31.2237957,121.4796361
741,483098150,31.2249550,121.4792697
742,483098154,31.2257675,121.4790088
743,483098189,31.2213283,121.4807027
