id,oneway,category,nodes
210,False,tertiary,"['476560879', '385114438', '385114439', '4252530974']"
211,False,tertiary,"['4252530974', '385114439', '385114438', '476560879']"
212,False,tertiary,"['4252530974', '1320103751']"
213,False,tertiary,"['1320103751', '4252530974']"
214,False,tertiary,"['1320103751', '1319204544', '385114441', '385114442', '385114443', '4198258583']"
215,False,tertiary,"['4198258583', '385114443', '385114442', '385114441', '1319204544', '1320103751']"
216,False,tertiary,"['4198258583', '1548480976', '654400890']"
217,False,tertiary,"['654400890', '1548480976', '4198258583']"
218,False,tertiary,"['654400890', '385114444', '7113864535', '476559359']"
219,False,tertiary,"['476559359', '7113864535', '385114444', '654400890']"
220,False,tertiary,"['476559359', '385114445', '385114446', '7113864536', '385114447', '1324294551']"
221,False,tertiary,"['1324294551', '385114447', '7113864536', '385114446', '385114445', '476559359']"
222,False,tertiary,"['1324294551', '7113864537', '385114448', '476555419']"
223,False,tertiary,"['476555419', '385114448', '7113864537', '1324294551']"
224,False,tertiary,"['476555419', '7113864539', '385114449', '1404037065', '385114450', '385114451', '7113864525', '476553962']"
225,False,tertiary,"['476553962', '7113864525', '385114451', '385114450', '1404037065', '385114449', '7113864539', '476555419']"
226,False,tertiary,"['476553962', '476553848']"
227,False,tertiary,"['476553848', '476553962']"
228,False,tertiary,"['476553848', '7113864528', '1316472128']"
229,False,tertiary,"['1316472128', '7113864528', '476553848']"
230,False,tertiary,"['1316472128', '1316471884']"
231,False,tertiary,"['1316471884', '1316472128']"
232,False,tertiary,"['1316471884', '476559990']"
233,False,tertiary,"['476559990', '1316471884']"
234,False,tertiary,"['476559990', '385114245', '481498557']"
235,False,tertiary,"['481498557', '385114245', '476559990']"
236,False,tertiary,"['481498557', '385114246', '1404036994']"
237,False,tertiary,"['1404036994', '385114246', '481498557']"
238,False,tertiary,"['1404036994', '385114247', '7113864520', '476558313']"
239,False,tertiary,"['476558313', '7113864520', '385114247', '1404036994']"
240,False,tertiary,"['476558313', '7113864519', '1563370151', '385114248', '385114249', '476556645']"
241,False,tertiary,"['476556645', '385114249', '385114248', '1563370151', '7113864519', '476558313']"
242,False,tertiary,"['476556645', '385114250', '639305926']"
243,False,tertiary,"['639305926', '385114250', '476556645']"
244,False,tertiary,"['639305926', '385114251', '385114252']"
245,False,tertiary,"['385114252', '385114251', '639305926']"
246,False,tertiary,"['385114252', '476560812', '476560259']"
247,False,tertiary,"['476560259', '476560812', '385114252']"
248,False,tertiary,"['476560259', '639305947']"
249,False,tertiary,"['639305947', '476560259']"
250,False,tertiary,"['639305947', '385113967', '385113968', '385113969', '482732943']"
251,False,tertiary,"['482732943', '385113969', '385113968', '385113967', '639305947']"
252,False,tertiary,"['482732943', '385113763']"
253,False,tertiary,"['385113763', '482732943']"
254,False,tertiary,"['385113795', '75354589', '5070865547', '481387832', '152848312']"
255,False,tertiary,"['152848312', '481387832', '5070865547', '75354589', '385113795']"
256,False,tertiary,"['152848312', '1548537346', '75354590', '152848344', '475974959', '75355689', '1548537347', '481384546', '1548537435', '7113798208', '75355690', '1548537303', '210643104']"
257,False,tertiary,"['210643104', '1548537303', '75355690', '7113798208', '1548537435', '481384546', '1548537347', '75355689', '475974959', '152848344', '75354590', '1548537346', '152848312']"
258,False,residential,"['385113763', '4705342936']"
259,False,residential,"['4705342936', '385113763']"
260,False,residential,"['4705342936', '1315785490']"
261,False,residential,"['1315785490', '4705342936']"
262,False,residential,"['1315785490', '385114569']"
263,False,residential,"['385114569', '1315785490']"
264,False,residential,"['385114569', '601145319']"
265,False,residential,"['601145319', '385114569']"
266,True,residential,"['475975347', '1316623423']"
267,True,residential,"['1316623423', '475975347']"
268,True,residential,"['1316623423', '475975640']"
269,True,residential,"['475975640', '1316623423']"
270,True,residential,"['475975640', '475975342']"
271,True,residential,"['475975342', '475975640']"
272,True,residential,"['475975342', '1316623456']"
273,True,residential,"['1316623456', '475975342']"
274,True,residential,"['1316623456', '1316623630']"
275,True,residential,"['1316623630', '1316623456']"
276,True,residential,"['1316623630', '1316623408']"
277,True,residential,"['1316623408', '1316623630']"
278,True,residential,"['1316623408', '481390471']"
279,True,residential,"['481390471', '1316623408']"
280,True,residential,"['481390471', '1316623482']"
281,True,residential,"['1316623482', '481390471']"
282,True,residential,"['1316623482', '1316623251']"
283,True,residential,"['1316623251', '1316623482']"
284,True,residential,"['1316623251', '1316623556']"
285,True,residential,"['1316623556', '1316623251']"
286,True,residential,"['1316623556', '1316623264']"
287,True,residential,"['1316623264', '1316623556']"
288,True,residential,"['1316623264', '1316623476']"
289,True,residential,"['1316623476', '1316623264']"
290,True,residential,"['1316623476', '1316623193']"
291,True,residential,"['1316623193', '1316623476']"
292,True,residential,"['1316623193', '1316623266']"
293,True,residential,"['1316623266', '1316623193']"
294,True,residential,"['1316623266', '475975057']"
295,True,residential,"['475975057', '1316623266']"
296,False,residential,"['481394996', '1315785481', '481433742']"
297,False,residential,"['481433742', '1315785481', '481394996']"
298,False,residential,"['475975640', '1316623694']"
299,False,residential,"['1316623694', '475975640']"
300,False,residential,"['1316623694', '1316623230']"
301,False,residential,"['1316623230', '1316623694']"
302,False,residential,"['1316623230', '1316623472']"
303,False,residential,"['1316623472', '1316623230']"
304,False,residential,"['1316623472', '475975643']"
305,False,residential,"['475975643', '1316623472']"
306,False,residential,"['475977438', '1316694037']"
307,False,residential,"['1316694037', '475977438']"
308,False,residential,"['1316694037', '475977445', '1317671186']"
309,False,residential,"['1317671186', '475977445', '1316694037']"
310,False,residential,"['1317671186', '1317671375']"
311,False,residential,"['1317671375', '1317671186']"
312,False,residential,"['1317671375', '475977454', '475976364']"
313,False,residential,"['475976364', '475977454', '1317671375']"
314,False,residential,"['475976364', '475976996', '1317671028']"
315,False,residential,"['1317671028', '475976996', '475976364']"
316,False,residential,"['1317671028', '3758885817']"
317,False,residential,"['3758885817', '1317671028']"
318,False,residential,"['3758885817', '2969936436']"
319,False,residential,"['2969936436', '3758885817']"
320,False,residential,"['2969936436', '599406978']"
321,False,residential,"['599406978', '2969936436']"
322,False,residential,"['599406978', '475977000']"
323,False,residential,"['475977000', '599406978']"
324,False,residential,"['475977497', '1317671049']"
325,False,residential,"['1317671049', '475977497']"
326,False,residential,"['1317671049', '475977519']"
327,False,residential,"['475977519', '1317671049']"
328,False,residential,"['475977519', '1317670979']"
329,False,residential,"['1317670979', '475977519']"
330,False,residential,"['1317670979', '1317671434']"
331,False,residential,"['1317671434', '1317670979']"
332,False,residential,"['1317671434', '1317671223']"
333,False,residential,"['1317671223', '1317671434']"
334,False,residential,"['1317671223', '475977438']"
335,False,residential,"['475977438', '1317671223']"
336,False,residential,"['475977438', '1316694030']"
337,False,residential,"['1316694030', '475977438']"
338,False,residential,"['1316694030', '1316694003']"
339,False,residential,"['1316694003', '1316694030']"
340,False,residential,"['1316694003', '1316694018']"
341,False,residential,"['1316694018', '1316694003']"
342,False,residential,"['1316694018', '1317670896']"
343,False,residential,"['1317670896', '1316694018']"
344,False,residential,"['1317670896', '1317670846']"
345,False,residential,"['1317670846', '1317670896']"
346,False,residential,"['1317670846', '1317671121']"
347,False,residential,"['1317671121', '1317670846']"
348,False,residential,"['1317671121', '475977663', '475977686']"
349,False,residential,"['475977686', '475977663', '1317671121']"
350,False,residential,"['475977686', '1317671298']"
351,False,residential,"['1317671298', '475977686']"
352,False,residential,"['1317671298', '1317671333']"
353,False,residential,"['1317671333', '1317671298']"
354,False,residential,"['1317671333', '1317671424']"
355,False,residential,"['1317671424', '1317671333']"
356,False,residential,"['1317671424', '475977664', '475977667']"
357,False,residential,"['475977667', '475977664', '1317671424']"
358,True,residential,"['475977684', '1316694062']"
359,True,residential,"['1316694062', '475977684']"
360,True,residential,"['1316694062', '1317671031']"
361,True,residential,"['1317671031', '1316694062']"
362,True,residential,"['1317671031', '1317671125']"
363,True,residential,"['1317671125', '1317671031']"
364,True,residential,"['1317671125', '1316694013']"
365,True,residential,"['1316694013', '1317671125']"
366,True,residential,"['1316694013', '1317671325']"
367,True,residential,"['1317671325', '1316694013']"
368,True,residential,"['1317671325', '1316694059']"
369,True,residential,"['1316694059', '1317671325']"
370,True,residential,"['1316694059', '475977686']"
371,True,residential,"['475977686', '1316694059']"
372,True,residential,"['475977686', '1317671254']"
373,True,residential,"['1317671254', '475977686']"
374,True,residential,"['1317671254', '1316694010']"
375,True,residential,"['1316694010', '1317671254']"
376,True,residential,"['1316694010', '1316694056']"
377,True,residential,"['1316694056', '1316694010']"
378,True,residential,"['1316694056', '1317670980']"
379,True,residential,"['1317670980', '1316694056']"
380,True,residential,"['1317670980', '1317670757']"
381,True,residential,"['1317670757', '1317670980']"
382,True,residential,"['1317670757', '475977736']"
383,True,residential,"['475977736', '1317670757']"
384,True,residential,"['475977736', '1317671359']"
385,True,residential,"['1317671359', '475977736']"
386,True,residential,"['1317671359', '1317671073']"
387,True,residential,"['1317671073', '1317671359']"
388,True,residential,"['1317671073', '475977737']"
389,True,residential,"['475977737', '1317671073']"
390,False,residential,"['481390039', '475978398', '1317671256']"
391,False,residential,"['1317671256', '475978398', '481390039']"
392,False,residential,"['1317671256', '1317671227']"
393,False,residential,"['1317671227', '1317671256']"
394,False,residential,"['1317671227', '1317670983']"
395,False,residential,"['1317670983', '1317671227']"
396,False,residential,"['1317670983', '475978399', '1317670957']"
397,False,residential,"['1317670957', '475978399', '1317670983']"
398,False,residential,"['1317670957', '1317671306']"
399,False,residential,"['1317671306', '1317670957']"
400,False,residential,"['1317671306', '1317670767']"
401,False,residential,"['1317670767', '1317671306']"
402,False,residential,"['1317670767', '1317671197']"
403,False,residential,"['1317671197', '1317670767']"
404,False,residential,"['1317671197', '1317670900']"
405,False,residential,"['1317670900', '1317671197']"
406,False,residential,"['1317670900', '1317670769']"
407,False,residential,"['1317670769', '1317670900']"
408,False,residential,"['1317670769', '475977737']"
409,False,residential,"['475977737', '1317670769']"
410,False,residential,"['475977737', '475978428']"
411,False,residential,"['475978428', '475977737']"
412,False,residential,"['475978428', '1317671261']"
413,False,residential,"['1317671261', '475978428']"
414,False,residential,"['1317671261', '475978402', '1317671140']"
415,False,residential,"['1317671140', '475978402', '1317671261']"
416,False,residential,"['1317671140', '1317671132']"
417,False,residential,"['1317671132', '1317671140']"
418,False,residential,"['1317671132', '475978939']"
419,False,residential,"['475978939', '1317671132']"
420,False,residential,"['475978414', '1317681865']"
421,False,residential,"['1317681865', '475978414']"
422,False,residential,"['1317681865', '475978428']"
423,False,residential,"['475978428', '1317681865']"
424,False,residential,"['475978428', '1317670750']"
425,False,residential,"['1317670750', '475978428']"
426,False,residential,"['1317670750', '654404035', '1317671397']"
427,False,residential,"['1317671397', '654404035', '1317670750']"
428,False,residential,"['1317671397', '475978447']"
429,False,residential,"['475978447', '1317671397']"
430,False,residential,"['475978447', '475978741']"
431,False,residential,"['475978741', '475978447']"
