,id,x,y,type
1742,664200751,14020.06,16443.42,priority
1743,664208694,13303.16,16586.66,priority
1744,664208695,13291.65,16631.99,priority
1745,664208696,13128.78,16568.54,priority
1746,665435612,10261.29,16360.53,priority
1747,665671761,11306.52,16443.34,priority
1748,666750718,13317.63,17829.81,priority
1749,666918886,14849.56,17918.05,priority
1750,667185199,11037.51,15628.02,priority
1751,667443052,13537.52,18198.73,priority
1752,669162501,10559.64,17532.45,priority
1753,670093810,13139.62,17322.65,priority
1754,670093850,13147.53,17344.22,priority
1755,671775283,10207.90,16670.85,priority
1756,671775288,10197.15,16671.95,priority
1757,671775302,10196.75,16679.45,priority
1758,671775341,10207.45,16681.59,priority
1759,672171829,12399.43,15216.04,priority
1760,672171847,12457.87,15177.07,traffic_light
1761,672171864,12478.73,15199.81,priority
1762,672171887,12377.24,15369.86,priority
1763,672171928,12464.93,15512.33,priority
1764,672171952,12485.34,15481.86,priority
1765,672404496,14848.01,17438.23,priority
1766,672773492,12304.60,15308.26,priority
1767,672773495,12264.70,15300.03,traffic_light
1768,705170760,13432.24,15779.56,priority
1769,712629762,12634.29,15053.45,priority
1770,713758579,12994.01,15022.43,priority
1771,716554608,12016.64,17545.25,traffic_light
1772,716554841,12000.09,17549.32,traffic_light
1773,716593612,12009.99,17532.38,traffic_light
1774,722488006,11203.87,15238.59,priority
1775,722488030,11233.76,15276.42,priority
1776,724143380,11688.16,18574.40,priority
1777,724143388,11681.25,18588.17,priority
1778,724143398,11764.10,18476.54,priority
1779,724150206,12742.56,17483.46,priority
1780,724150210,12776.25,17492.70,priority
1781,724150215,12707.90,17499.32,priority
1782,724150257,12707.61,17533.96,priority
1783,725407717,11105.70,17757.10,priority
1784,725407721,10711.16,17814.22,priority
1785,726845090,10853.58,17879.52,priority
1786,728905582,9685.35,19100.31,priority
1787,733903858,12207.68,18721.16,priority
1788,733908923,11847.50,19108.85,priority
1789,734475307,12205.91,18698.84,priority
1790,734480077,12721.57,18491.28,priority
1791,734480100,13081.57,18647.00,priority
1792,73558950,11869.81,15919.59,priority
1793,738647300,14453.78,18957.77,priority
1794,74987548,13001.32,17468.63,priority
1795,74989301,13091.56,17462.33,priority
1796,74989302,13016.27,17544.49,priority
1797,74989980,13102.57,17636.84,priority
1798,74990663,13120.89,17413.20,priority
1799,74991293,13105.11,17580.02,priority
1800,762015197,12588.28,17539.75,priority
1801,762015198,12605.80,17538.21,right_before_left
1802,762399659,13612.57,17398.43,priority
1803,762585077,12642.19,17343.82,priority
1804,762585085,12609.40,17386.46,right_before_left
1805,762585127,12570.56,17354.22,priority
1806,765964476,12881.01,17383.97,priority
1807,765964489,12885.04,17408.74,priority
1808,76598885,11764.51,15643.18,traffic_light
1809,769203814,10870.84,15809.24,right_before_left
1810,773224762,14272.20,17480.69,priority
1811,773224780,14353.39,17469.82,priority
1812,774498515,14994.17,16205.79,traffic_light
